parameter,value
thick_k,2020.0
thin_k,1743.0
xb_c_rest_weak,0.8230900168418884
xb_c_rest_strong,1.2775800228118896
xb_c_k_weak,8.0
xb_c_k_strong,40.0
xb_g_rest_weak,19.93000030517578
xb_g_rest_strong,16.469999313354492
xb_g_k_weak,0.4000000059604645
xb_g_k_strong,5.0
titin_a,43.0
titin_b,0.004000000189989805
titin_rest,215.0
tm_k_12,15000.0
tm_k_23,0.20000000298023224
tm_k_34,0.10000000149011612
tm_k_41,0.25
tm_K1,5000.0
tm_K2,50.0
tm_K3,0.05000000074505806
tm_K4,0.0
tm_coop_magnitude,5.0
tm_span_base,62.0
tm_span_force50,-8.0
tm_span_steep,0.800000011920929
xb_r12_coeff,250.0
xb_r23_coeff,0.6000000238418579
xb_r34_coeff,0.15000000596046448
xb_r45_coeff,0.6000000238418579
xb_delta_34,1.0
xb_delta_45,0.5
xb_r51,0.10000000149011612
xb_r15,0.009999999776482582
xb_r16,0.009999999776482582
xb_U_DRX,-2.299999952316284
xb_U_loose,-4.300000190734863
xb_U_tight_1,-15.0
xb_U_tight_2,-21.0
xb_srx_k0,0.003000000026077032
xb_srx_kmax,0.4000000059604645
xb_srx_b,5.0
xb_srx_ca50,9.999999974752427e-07
temp_celsius,26.149999618530273
solver_tol,0.30000001192092896
pCa,4.5
z_line,900.0
lattice_spacing,14.0
xb_lda_enabled,1.0
xb_lda_gain,3.0
xb_lda_strain_threshold,1.0
xb_lda_strain_scale,0.5
xb_lattice_reference,14.0
xb_lattice_binding_beta,0.25
